zh_Food_name,GHG,en_Food_name,Energy/kcal,Protein /g,Fat/g,Carbohydrates /g,Sodium/mg,price/rmb,url,,,,,,,,,,
啤酒,0.7,beer,43,0.5,0,3.6,4,10,https://cdn.pixabay.com/photo/2015/09/24/20/36/beer-barrel-956322_1280.jpg,,,,,,,,,,
玉米片,1.2,corn flakes,357,8,0.4,84,729,4.5,https://cdn.pixabay.com/photo/2019/09/05/19/58/nachos-4454941_1280.jpg,,,,,,,,,,
培根,6,bacon,512,40.9,36.5,2.1,1830,60,https://cdn.pixabay.com/photo/2016/04/11/23/23/bacon-1323412_1280.jpg,,,,,,,,,,
羊肉,30,lamb/Mutton,294,25,21,0,72,58,https://cdn.pixabay.com/photo/2016/04/20/23/59/lamb-1342395_1280.jpg,,,,,,,,,,
鹅肉,4.5,goose,144,10.8,19.9,0,58,26,https://cdn.pixabay.com/photo/2016/10/23/05/43/foie-gras-1762238_1280.jpg,,,,,,,,,,
洋葱,0.5,onion,33,0.89,0.13,7.68,2,3.5,https://cdn.pixabay.com/photo/2016/01/17/09/37/onion-1144620_1280.jpg,,,,,,,,,,
奶酪,18.2,cheese,105,11.6,4.22,4.6,350,100,https://cdn.pixabay.com/photo/2017/01/11/19/56/cheese-1972744_1280.jpg,,,,,,,,,,
苹果,0.86,apple,58,0.15,0.16,15.6,1,7.28,https://cdn.pixabay.com/photo/2022/09/16/16/09/harvest-7458975_1280.jpg,,,,,,,,,,
香蕉,1,banana,88,0.74,0.29,23,4,6.75,https://cdn.pixabay.com/photo/2016/09/03/20/48/bananas-1642706_1280.jpg,,,,,,,,,,
葡萄,1,grape,77,0.91,0.16,20.2,7,12,https://cdn.pixabay.com/photo/2021/10/01/18/27/grapes-6673291_1280.jpg,,,,,,,,,,
麦片,1.5,oatmeal,67,2.4,1.4,12,49,7.74,https://cdn.pixabay.com/photo/2015/03/11/11/11/muesli-668519_1280.jpg,,,,,,,,,,
龙虾,21,lobster,90,21.4,1.1,10,63,400,https://cdn.pixabay.com/photo/2020/03/21/03/59/lobster-4952603_1280.jpg,,,,,,,,,,
梨,0.6,pear,57,0.31,0.37,14.8,0,6,https://cdn.pixabay.com/photo/2016/07/22/09/59/fruits-1534494_1280.jpg,,,,,,,,,,
猕猴桃,0.7,kiwi fruit,58,1,0.64,13.8,2,9.5,https://cdn.pixabay.com/photo/2021/10/17/16/44/kiwi-6718889_1280.jpg,,,,,,,,,,
燕麦,0.5,oat,379,12.5,5.8,69.8,2.5,7.25,https://cdn.pixabay.com/photo/2019/03/14/11/30/oats-4054667_1280.jpg,,,,,,,,,,
面粉,0.6,flour,366,11.4,1.52,74.4,2.5,3.6,https://cdn.pixabay.com/photo/2016/08/09/22/23/flour-1581967_1280.jpg,,,,,,,,,,
蜂蜜,1.2,honey,304,0.3,0,82,4,70,https://cdn.pixabay.com/photo/2018/04/02/14/30/pancake-3284029_1280.jpg,,,,,,,,,,
芒果,1.1,mango,78,0.69,0.68,17.4,2.5,14.5,https://cdn.pixabay.com/photo/2016/03/05/22/41/mango-1239347_1280.jpg,,,,,,,,,,
大米,5,rice,370,7.04,1.03,80.3,0,5.18,https://cdn.pixabay.com/photo/2018/08/21/23/08/rice-3622461_1280.jpg,,,,,,,,,,
生姜,0.49,ginger,89,1.8,0.9,18,9,12,https://cdn.pixabay.com/photo/2020/04/29/12/35/ginger-5108742_1280.jpg,,,,,,,,,,
甘蔗,0.1,sugercane,242,0.16,0.4,13.11,1.16,6,https://cdn.pixabay.com/photo/2020/07/09/20/05/sugarcane-5388628_1280.jpg,,,,,,,,,,
番木瓜,0.47,papaya,179,0.47,0.26,10.82,0,15.6,https://cdn.pixabay.com/photo/2018/09/03/19/08/papaya-3652074_1280.jpg,,,,,,,,,,
